"","(0,0.1]","(0.1,0.2]","(0.2,0.3]","(0.3,0.4]","(0.4,0.5]","(0.5,0.6]","(0.6,0.7]","(0.7,0.8]","(0.8,0.9]","(0.9,1]"
"(0,2.5]",3.38664323862002,3.33750499252683,3.36469839980798,3.44555130783819,3.70160736028534,4.28984857270784,5.13305339905318,6.23302136751785,7.39554826296321,8.25033272202554
"(2.5,4]",3.61927953198085,3.61615690014092,3.66144103152156,3.75746522826102,3.99526693361457,4.47503277669772,5.16013971134137,5.97832555808126,6.80975626403949,7.17428880173948
"(4,5]",3.59338016996309,3.56772653196216,3.62434702041279,3.64931674633368,3.76400798072951,4.16950492511469,4.7001777084608,5.36982883902099,5.89338887362955,5.87051614290598
"(5,6]",3.20120054100969,3.19573053917185,3.1723072635848,3.1569810105112,3.26562749270754,3.59025277866716,4.09624208103545,4.52260292113281,4.84794619371021,4.76602920189757
"(6,7]",2.65049374247808,2.63293156292062,2.62160554352003,2.61240421966432,2.71470828587398,2.98559508307158,3.35102886259705,3.61999785879453,3.81296054013341,3.67919968932135
"(7,8]",2.1029130454505,2.03246788605582,2.05722903113249,2.05110765322422,2.11885380506725,2.31601120436692,2.63285544554441,3.00825600006536,3.07153628190951,2.58768919254358
"(8,9]",1.47106595355146,1.44661704054619,1.42235604704839,1.46444599987203,1.58923988696028,1.72797315539616,2.10807681690147,2.36360408223915,2.39046249560352,1.8569204695499
"(9,10]",0.857687921964006,0.836812116907404,0.874658093100579,0.885504338475955,1.00893310268535,1.22487403743504,1.61886562519947,1.79305921408448,1.7275840421658,1.31202217380891
"(10,12]",0.0727710640061056,0.0852433104874298,0.121437992152711,0.193575419863185,0.376014965655307,0.65172293662321,0.967482047407921,1.28698705715832,1.30727208449763,0.546124073764828
"(12,14]",-0.681963727691103,-0.668760593365712,-0.630648940259867,-0.525362330028459,-0.318224779707038,-0.0332496585704121,0.387388820175227,0.679987847097097,0.768309018020067,-0.0321093943302503
"(14,16]",-1.10623292796574,-1.11932961949932,-1.06798613927293,-0.920656882020899,-0.785832645100508,-0.460279542457169,-0.0486358188840876,0.316454526028479,0.721761835687333,-0.0157375032493104
"(16,20]",-1.57876217315657,-1.56673151804497,-1.52527300253998,-1.45734843491521,-1.28286966572889,-1.02581952063876,-0.603717856634224,-0.137854010603568,0.138758576896738,0.0408009714224335
"(20,25]",-2.50008355682201,-2.4527704604287,-2.42007725733701,-2.30138711844685,-2.15696566609728,-1.87649826403888,-1.53405481408416,-1.10880292616449,-0.642740754993151,-0.435470188729442
"(25,30]",-3.65242619431841,-3.61985992172858,-3.54865707039392,-3.42771583320141,-3.34159938842191,-3.15830684687476,-2.82915583686443,-2.37290255059803,-1.85904618702944,-1.77128836825127
"(30,40]",-4.98673401354893,-4.97765599962789,-4.92901996450044,-4.81379277766611,-4.73539083987958,-4.62683184095838,-4.40669077115512,-4.08652139680685,-3.61008792591508,-3.20093672318228
"(40,500]",-9.98531069530266,-9.8837537295831,-9.78000683035046,-9.6786553239472,-9.6748419124358,-9.64452621046923,-9.41149979509201,-9.27059863699507,-8.87508490198293,-7.49570926924356
